,street_number,street_name,neighborhood,city,postal_code,lon,lat,HUNDRED_BLOCK,count,address
4100,5772,126 Street,Newton,Surrey,V3X 3G8,-122.8728272,49.1074865,5800 126TH ST,12,5800 126TH ST Surrey
4101,5814,King George Boulevard,South Newton,Surrey,V3X 1G8,-122.8359627,49.1083607,5800 KING GEORGE BLVD,12,5800 KING GEORGE BLVD Surrey
4102,5926,164 Street,West Cloverdale South,Surrey,V3S 6M6,-122.7674869,49.1101205,5900 164TH ST,12,5900 164TH ST Surrey
4103,5892,172 Street,Cloverdale,Surrey,V3S 3Z6,-122.7456406,49.1095471,5900 172ND ST,12,5900 172ND ST Surrey
4104,132 St FS 60 Ave,Newton,Surrey,Greater Vancouver,V3X 2L6,-122.856633,49.1118991,6000 132ND ST,12,6000 132ND ST Surrey
4105,13492,84 Avenue,Newton,Surrey,V3W 3H2,-122.8489612,49.1554677,6000 134B ST,12,6000 134B ST Surrey
4106,60 Ave FS 180 St,Cloverdale,Surrey,Greater Vancouver,V3S 4L4,-122.7238105,49.1114475,6000 180TH ST,12,6000 180TH ST Surrey
4107,152 St FS 60 Ave,Surrey,Greater Vancouver,British Columbia,V3S,-122.8010487,49.1117315,60TH AVE / 152ND ST,12,60TH AVE / 152ND ST Surrey
4108,60 Ave FS 184 St,Surrey,Greater Vancouver,British Columbia,V3S 4N4,-122.7125693,49.1114304,60TH AVE / 184TH ST,12,60TH AVE / 184TH ST Surrey
4109,6133,167A Street,Cloverdale,Surrey,V3S 9L1,-122.7599276,49.1138468,6100 166A ST,12,6100 166A ST Surrey
4110,6108,169 Street,Cloverdale,Surrey,V3S 8X8,-122.7539688,49.1132356,6100 169TH ST,12,6100 169TH ST Surrey
4111,6055,170A Street,Cloverdale,Surrey,V3S 8H1,-122.7501569,49.1128176,6100 170A ST,12,6100 170A ST Surrey
4112,6102,181A Street,Cloverdale,Surrey,V3S 4M2,-122.7196177,49.1134052,6100 181A ST,12,6100 181A ST Surrey
4113,6258,132B Street,Newton,Surrey,V3X 1M3,-122.854499,49.1166026,6200 132B ST,12,6200 132B ST Surrey
4114,6164,175B Street,Cloverdale,Surrey,V3S 4V6,-122.7356002,49.1146009,6200 175B ST,12,6200 175B ST Surrey
4115,6298,172 Street,Cloverdale,Surrey,V3S 6V8,-122.746035,49.117395,6300 172ND ST,12,6300 172ND ST Surrey
4116,6340,187A Street,Surrey,Greater Vancouver,V3S 7P2,-122.7029096,49.1142977,6300 187A ST,12,6300 187A ST Surrey
4117,6451,139A Street,South Newton,Surrey,V3W 1Y7,-122.8356624,49.1200128,6400 139A ST,12,6400 139A ST Surrey
4118,64 Ave FS 177B St,Cloverdale,Surrey,Greater Vancouver,V3S,-122.7308145,49.118827,64TH AVE / 177B ST,12,64TH AVE / 177B ST Surrey
4119,Eastbound 64 Ave @ Fraser Hwy,East Clayton,Surrey,Greater Vancouver,V3S 7L5,-122.6902978,49.1194304,64TH AVE / 192ND ST,12,64TH AVE / 192ND ST Surrey
4120,18242,64 Avenue,Cloverdale,Surrey,V3S 8A7,-122.7168812,49.118758,64TH AVE / CLAYTONWOOD GT,12,64TH AVE / CLAYTONWOOD GT Surrey
4121,6489,Pacific Highway,Surrey,Greater Vancouver,V3S 4G4,-122.7349255,49.1202327,6500 176TH ST,12,6500 176TH ST Surrey
4122,12555,66 Avenue,West Newton North,Surrey,V3W 1V7,-122.8748647,49.1230638,6600 125A ST,12,6600 125A ST Surrey
4123,7011,134 Street,Newton,Surrey,V3W 4T1,-122.8522833,49.1301437,6600 133B ST,12,6600 133B ST Surrey
4124,6628,148A Street,East Newton South,Surrey,V3S 2W4,-122.8101345,49.1224209,6600 148A ST,12,6600 148A ST Surrey
4125,6608,195 Street,East Clayton,Surrey,V4N 0C3,-122.6831846,49.1238631,6600 195TH ST,12,6600 195TH ST Surrey
4126,6607,128 Street,Newton,Surrey,V3W 4C8,-122.8678131,49.1228488,66TH AVE / 128TH ST,12,66TH AVE / 128TH ST Surrey
4127,6702,133 Street,Newton,Surrey,V3W 7J6,-122.854514,49.1246082,6700 133RD ST,12,6700 133RD ST Surrey
4128,6748,178B Street,Cloverdale,Surrey,V3S 9E1,-122.7274889,49.1249785,6700 178B ST,12,6700 178B ST Surrey
4129,6700,185 Street,North Cloverdale East,Surrey,V3S 9B2,-122.7094671,49.124343,6700 185TH ST,12,6700 185TH ST Surrey
4130,9302,127A Street,Surrey,Greater Vancouver,V3V 6C7,-122.8694467,49.1717474,6800 127A ST,12,6800 127A ST Surrey
4131,6901,126A Street,Newton,Surrey,V3W 1K6,-122.8721223,49.128298,6900 126A ST,12,6900 126A ST Surrey
4132,7058,122A Street,Newton,Surrey,V3W 4Z8,-122.8827733,49.1311045,7000 122A ST,12,7000 122A ST Surrey
4133,7098,150A Street,East Newton South,Surrey,V3S 2E2,-122.8048278,49.1318512,7100 150A ST,12,7100 150A ST Surrey
4134,Southbound 138 St @ 7100 Block,Newton,Surrey,Greater Vancouver,V3W 7T9,-122.8387095,49.1314318,71ST AVE / 138TH ST,12,71ST AVE / 138TH ST Surrey
4135,72 Ave FS 146 St,East Newton South,Surrey,Greater Vancouver,V3S,-122.8178655,49.1337303,72ND AVE / 146TH ST,12,72ND AVE / 146TH ST Surrey
4136,7283,149A Street,Newton,Surrey,V3S 3H4,-122.8080633,49.1350673,7300 149A ST,12,7300 149A ST Surrey
4137,7502,149 Street,Newton,Surrey,V3S 0V1,-122.8099213,49.1393173,7500 149TH ST,12,7500 149TH ST Surrey
4138,7595 D,Hurdle Crescent,Newton,Surrey,V3W 8T8,-122.8665086,49.1410207,76TH AVE / HURDLE CRES,12,76TH AVE / HURDLE CRES Surrey
4139,7689,122 Street,Newton,Surrey,V3W 1J3,-122.8846565,49.1430686,7700 122ND ST,12,7700 122ND ST Surrey
4140,7706,123rd Street,Newton,Surrey,V3W 9H3,-122.8820347,49.1433343,7700 123RD ST,12,7700 123RD ST Surrey
4141,7804,122A Street,Newton,Surrey,V3W 3T3,-122.8829252,49.1449202,7800 122A ST,12,7800 122A ST Surrey
4142,7880,168A Street,Surrey,Greater Vancouver,V4N 0J4,-122.7546917,49.1458796,7800 168A ST,12,7800 168A ST Surrey
4143,79,79 Avenue,Newton,Surrey,V3W 5Y9,-122.834555,49.146335,7900 140TH ST,12,7900 140TH ST Surrey
4144,8115,121A Street,Newton,Surrey,V3W 1J2,-122.8867584,49.1507227,8000 121A ST,12,8000 121A ST Surrey
4145,124 St FS 80 Ave,Newton,Surrey,Greater Vancouver,V3W,-122.8790656,49.1483657,8000 124TH ST,12,8000 124TH ST Surrey
4146,13360,80 Avenue,Newton,Surrey,V3W 3B7,-122.8526748,49.1481621,8000 133A ST,12,8000 133A ST Surrey
4147,8008,169 Street,Surrey,Greater Vancouver,V4N 4Y7,-122.752439,49.1482259,8000 169TH ST,12,8000 169TH ST Surrey
4148,8216,156 Street,Surrey,Greater Vancouver,V3S 3R7,-122.7901023,49.1519695,8200 156TH ST,12,8200 156TH ST Surrey
4149,9398,156 Street,Surrey,Greater Vancouver,V3R 4L2,-122.790046,49.1735208,82ND AVE / 156TH ST,12,82ND AVE / 156TH ST Surrey
4150,8306,133 Street,Newton,Surrey,V3W 1E4,-122.8540381,49.1538914,8300 133RD ST,12,8300 133RD ST Surrey
4151,8300,135A Street,Newton,Surrey,V3W 0Y2,-122.8471823,49.1548539,8300 135A ST,12,8300 135A ST Surrey
4152,36,83 Avenue,Surrey,Greater Vancouver,V4N 0W2,-122.7816196,49.1536413,8300 159TH ST,12,8300 159TH ST Surrey
4153,140 St FS 84 Ave,Newton,Surrey,Greater Vancouver,V3W,-122.8345955,49.1555239,8400 140TH ST,12,8400 140TH ST Surrey
4154,15106,84 Avenue,Newton,Surrey,V3S 2M9,-122.8041983,49.1553647,8400 151ST ST,12,8400 151ST ST Surrey
4155,8438,156A Street,Surrey,Greater Vancouver,V4N 0Y7,-122.7883924,49.1562702,8400 156A ST,12,8400 156A ST Surrey
4156,10285,167 Street,Surrey,Greater Vancouver,V4N 1Z2,-122.758889,49.189507,8400 167TH ST,12,8400 167TH ST Surrey
4157,12389,84 Avenue,Newton,Surrey,V3W 3G8,-122.8791201,49.155724,84TH AVE / 124TH ST,12,84TH AVE / 124TH ST Surrey
4158,84 Ave FS 156 St,Surrey,Greater Vancouver,British Columbia,V3S 3R9,-122.7901254,49.155512,84TH AVE / 156TH ST,12,84TH AVE / 156TH ST Surrey
4159,8508,142A Street,Newton,Surrey,V3W 0Z8,-122.8265426,49.1575467,8500 142A ST,12,8500 142A ST Surrey
4160,8492,152 Street,Surrey,Greater Vancouver,V3S 3M8,-122.8010755,49.157509,8500 152ND ST,12,8500 152ND ST Surrey
4161,8607,143 Street,Newton,Surrey,V3W 0N9,-122.8262263,49.1592356,8600 143RD ST,12,8600 143RD ST Surrey
4162,8632,147A Street,Newton,Surrey,V3S 6P3,-122.8139095,49.1595355,8600 147A ST,12,8600 147A ST Surrey
4163,Scott Rd FS 86 Ave,Greater Vancouver,British Columbia,Canada,Canada,-122.890364,49.1595916,86TH AVE / 120TH ST,12,86TH AVE / 120TH ST Surrey
4164,92,133A Street,Surrey,Greater Vancouver,V3V 7E4,-122.8523591,49.1700106,8800 133A ST,12,8800 133A ST Surrey
4165,8808,160A Street,Surrey,Greater Vancouver,V4N 2Z1,-122.7773397,49.1629774,8800 160A ST,12,8800 160A ST Surrey
4166,88 Ave FS 130 St,Surrey,Greater Vancouver,British Columbia,V3W,-122.8624334,49.1626117,88TH AVE / QUEEN MARY BLVD,12,88TH AVE / QUEEN MARY BLVD Surrey
4167,8889,128 Street,Surrey,Greater Vancouver,V3V 5M6,-122.8680109,49.1643817,8900 128TH ST,12,8900 128TH ST Surrey
4168,8906,146 Street,Surrey,Greater Vancouver,V3R 6R2,-122.8179038,49.164722,8900 146TH ST,12,8900 146TH ST Surrey
4169,12301,90 Avenue,Surrey,Greater Vancouver,V3V 1B7,-122.8818085,49.1669055,9000 123RD ST,12,9000 123RD ST Surrey
4170,148 St FS 90 Ave,Surrey,Greater Vancouver,British Columbia,V3R 3W7,-122.81234,49.166475,9000 148TH ST,12,9000 148TH ST Surrey
4171,9067,160 Street,Surrey,Greater Vancouver,V4N 2X7,-122.778858,49.166472,9000 160TH ST,12,9000 160TH ST Surrey
4172,9095,134 Street,Surrey,Greater Vancouver,V3V 1E5,-122.8513477,49.1678932,9100 134TH ST,12,9100 134TH ST Surrey
4173,8883,138A Street,Newton,Surrey,V3W 9B3,-122.8375197,49.1503782,9100 138TH ST,12,9100 138TH ST Surrey
4174,9110,146A Street,Surrey,Greater Vancouver,V3R 6Z6,-122.8162641,49.1682801,9100 146A ST,12,9100 146A ST Surrey
4175,92,133A Street,Surrey,Greater Vancouver,V3V 7E4,-122.8523591,49.1700106,9200 133A ST,12,9200 133A ST Surrey
4176,9402,157 Street,Surrey,Greater Vancouver,V4N 3B5,-122.7873176,49.1737177,9400 157TH ST,12,9400 157TH ST Surrey
4177,9520,124A Street,Surrey,Greater Vancouver,V3V 7G2,-122.8775065,49.175273,9500 124A ST,12,9500 124A ST Surrey
4178,9520,195 Street,Surrey,Greater Vancouver,V4N 4G2,-122.6816513,49.1752404,9500 195TH ST,12,9500 195TH ST Surrey
4179,96 Ave FS 116 St,Greater Vancouver,British Columbia,Canada,V4C 5X2,-122.9011911,49.1771084,9600 116TH ST,12,9600 116TH ST Surrey
4180,9656,129 Street,Surrey,Greater Vancouver,V3T 3G4,-122.8640636,49.1782292,9600 129TH ST,12,9600 129TH ST Surrey
4181,9586,153A Street,Surrey,Greater Vancouver,V3R 8J6,-122.7966618,49.1766328,9600 153A ST,12,9600 153A ST Surrey
4182,15505,96 Avenue,Surrey,Greater Vancouver,V3R 1G6,-122.7928689,49.1769318,9600 155TH ST,12,9600 155TH ST Surrey
4183,9670,187 Street,Surrey,Greater Vancouver,V4N 3N6,-122.7043597,49.177999,9600 187TH ST,12,9600 187TH ST Surrey
4184,13725,96 Avenue,Whalley,Surrey,V3V 1Z2,-122.8421024,49.1770592,96TH AVE / 137A ST,12,96TH AVE / 137A ST Surrey
4185,9719,116 Street,Surrey,Greater Vancouver,V3V 3Z8,-122.9012449,49.1791644,9700 116TH ST,12,9700 116TH ST Surrey
4186,9717,180 Street,Surrey,Greater Vancouver,V4N 4V9,-122.7235825,49.1795879,9700 180TH ST,12,9700 180TH ST Surrey
4187,9700,Princess Drive,Surrey,Greater Vancouver,V3V 2T4,-122.906073,49.179072,9700 PRINCESS DR,12,9700 PRINCESS DR Surrey
4188,9800,190 Street,Surrey,Greater Vancouver,V4N 3M9,-122.695637,49.180576,9800 190TH ST,12,9800 190TH ST Surrey
4189,9850,King George Boulevard,Whalley,Surrey,V3T 4Y3,-122.8456594,49.181525,98A AVE / KING GEORGE BLVD,12,98A AVE / KING GEORGE BLVD Surrey
4190,9974,117 Street,Surrey,Greater Vancouver,V3V 7H5,-122.8985912,49.1839715,9900 117TH ST,12,9900 117TH ST Surrey
4191,9905,157 Street,Surrey,Greater Vancouver,V4N 2W4,-122.787087,49.18253,9900 157TH ST,12,9900 157TH ST Surrey
4192,5777,King George Boulevard,Newton,Surrey,V3X 1H2,-122.8350549,49.1076089,HALL RD / KING GEORGE BLVD,12,HALL RD / KING GEORGE BLVD Surrey
4193,18099,80 Avenue,Surrey,Greater Vancouver,V4N 6G3,-122.7200949,49.147943,HARVIE RD / 80TH AVE,12,HARVIE RD / 80TH AVE Surrey
4194,12991,73 Avenue,Newton,Surrey,V3W 7R2,-122.8622963,49.1356097,HWY 17 / 130TH ST,12,HWY 17 / 130TH ST Surrey
4195,3247,British Columbia 99 Alternate,Surrey,Greater Vancouver,V4P 1B7,-122.8131628,49.0612847,KING GEORGE BLVD / 148TH ST,12,KING GEORGE BLVD / 148TH ST Surrey
4196,5814,King George Boulevard,South Newton,Surrey,V3X 1G8,-122.8360758,49.1082946,KING GEORGE BLVD / 58TH AVE,12,KING GEORGE BLVD / 58TH AVE Surrey
4197,160 St FS Fraser Hwy,Surrey,Greater Vancouver,British Columbia,V4N 0Y3,-122.7790105,49.157423,NA 160TH ST / FRASER HWY,12,NA 160TH ST / FRASER HWY Surrey
4198,7401,King George Boulevard,Newton,Surrey,V3W 5A8,-122.8460499,49.1371869,NA 74TH AVE / KING GEORGE BLVD,12,NA 74TH AVE / KING GEORGE BLVD Surrey
4199,88 Ave FS 140 St,Surrey,Greater Vancouver,British Columbia,Canada,-122.834643,49.1627301,NA 88TH AVE / 140TH ST,12,NA 88TH AVE / 140TH ST Surrey
4200,140 St FS Fraser Hwy,Surrey,Greater Vancouver,British Columbia,V3T,-122.8344448,49.178799,NA FRASER HWY / 140TH ST,12,NA FRASER HWY / 140TH ST Surrey
4201,14910-14882,Saint Andrews Drive,Guildford,Surrey,V3R 4Y4,-122.8085473,49.2109901,TRANS CANADA HWY / 152ND ST OFRP,12,TRANS CANADA HWY / 152ND ST OFRP Surrey
4202,13389,King George Boulevard,Whalley,Surrey,V3T 2T5,-122.8509706,49.2027271,UNIVERSITY DR / KING GEORGE BLVD,12,UNIVERSITY DR / KING GEORGE BLVD Surrey
4203,10018,159A Street,Surrey,Greater Vancouver,V4N 2S9,-122.7795831,49.184549,10000 159A ST,11,10000 159A ST Surrey
4204,91,151 Street,Surrey,Greater Vancouver,V3R 9N7,-122.803969,49.184207,100TH AVE / 151ST ST,11,100TH AVE / 151ST ST Surrey
4205,14700,100 Avenue,Surrey,Greater Vancouver,V3V 7Z2,-122.8133793,49.1841884,100TH AVE / SCOTT RD,11,100TH AVE / SCOTT RD Surrey
4206,10926,131 Street,Surrey,Greater Vancouver,V3T 3P6,-122.8588911,49.2013836,10100 131ST ST,11,10100 131ST ST Surrey
4207,10117,127 Street,Saint Helen's Park,Surrey,V3V 5J3,-122.872149,49.1863508,10100 MARY DR,11,10100 MARY DR Surrey
4208,14799,101 Avenue,Whalley,Surrey,V3R 7H7,-122.81204,49.186099,101ST AVE / 148TH ST,11,101ST AVE / 148TH ST Surrey
4209,12897,102 Avenue,Surrey,Greater Vancouver,V3T 1M7,-122.8646252,49.1880765,10200 129TH ST,11,10200 129TH ST Surrey
4210,14004,102A Avenue,Whalley,Surrey,V3T 1P9,-122.8338777,49.1879399,10200 140TH ST,11,10200 140TH ST Surrey
4211,13027,101B Avenue,Surrey,Greater Vancouver,V3T 1M5,-122.8617912,49.1880571,10200 SEMIAHMOO RD,11,10200 SEMIAHMOO RD Surrey
4212,10214,Scott Road,South Westminster,Surrey,V3V 4G1,-122.8900452,49.18814,102ND AVE / 120TH ST,11,102ND AVE / 120TH ST Surrey
4213,10298,128A Street,Surrey,Greater Vancouver,V3T 3E8,-122.86607,49.189861,10300 128A ST,11,10300 128A ST Surrey
4214,8089,139A Street,Newton,Surrey,V3W 8P6,-122.8366548,49.1497428,10300 139A ST,11,10300 139A ST Surrey
4215,10290,143 Street,Whalley,Surrey,V3T 4T3,-122.8258904,49.1896225,10300 143RD ST,11,10300 143RD ST Surrey
4216,10333,154 Street,Guildford,Surrey,V3R 4J7,-122.795331,49.190505,103A AVE / 154TH ST,11,103A AVE / 154TH ST Surrey
4217,10294,144 Street,Whalley,Surrey,V3T 4V3,-122.8231012,49.1896749,103RD AVE / WHALLEY BLVD,11,103RD AVE / WHALLEY BLVD Surrey
4218,15562,104 Avenue,Guildford,Surrey,V3R 1N9,-122.791222,49.1915106,10400 155A ST,11,10400 155A ST Surrey
4219,12343,104 Avenue,South Westminster,Surrey,V3V 3H2,-122.8839028,49.1920818,104TH AVE / 122ND ST,11,104TH AVE / 122ND ST Surrey
4220,14105,104 Avenue,Whalley,Surrey,V3T 1X6,-122.831312,49.1914481,104TH AVE / 141ST ST,11,104TH AVE / 141ST ST Surrey
4221,10510,125B Street,Surrey,Greater Vancouver,V3V 5A7,-122.8735102,49.193683,10500 125B ST,11,10500 125B ST Surrey
4222,10498,171 Street,Surrey,Greater Vancouver,V4N 4W5,-122.7486769,49.1932,10500 171ST ST,11,10500 171ST ST Surrey
4223,10610,Salisbury Drive,Surrey,Greater Vancouver,V4N 1N1,-122.7541661,49.1954781,10600 SALISBURY DR,11,10600 SALISBURY DR Surrey
4224,Southbound 156 St @ 108 Ave,Surrey,Greater Vancouver,British Columbia,V3R 9X4,-122.7897892,49.1983727,10700 156TH ST,11,10700 156TH ST Surrey
4225,10716,Whalley Boulevard,Whalley,Surrey,V3T 4H8,-122.8424015,49.1975355,107A AVE / WHALLEY BLVD,11,107A AVE / WHALLEY BLVD Surrey
4226,13155,131A Street,Surrey,Greater Vancouver,V3T 3R6,-122.8578143,49.1995224,10800 131A ST,11,10800 131A ST Surrey
4227,10826,132A Street,Whalley,Surrey,V3T 3Y3,-122.854604,49.1994752,10800 132A ST,11,10800 132A ST Surrey
4228,15571,108 Avenue,Surrey,Greater Vancouver,V3R 6B6,-122.791227,49.198849,10800 155A ST,11,10800 155A ST Surrey
4229,108 Ave FS 148 St,Guildford,Surrey,Greater Vancouver,V3R,-122.8124861,49.1987331,108TH AVE / FERGUSON DVRS,11,108TH AVE / FERGUSON DVRS Surrey
4230,10910,142B Street,Surrey,Greater Vancouver,V3R 3L8,-122.826129,49.2008828,10900 142B ST,11,10900 142B ST Surrey
4231,16748,109 Avenue,Surrey,Greater Vancouver,V4N 5H6,-122.758153,49.200783,10900 168TH ST,11,10900 168TH ST Surrey
4232,88 Ave FS 130 St,Surrey,Greater Vancouver,British Columbia,V3W,-122.862433,49.162593,11000 130TH ST,11,11000 130TH ST Surrey
4233,9184,146A Street,Surrey,Greater Vancouver,V3R 6Z6,-122.816137,49.1698791,11000 146A ST,11,11000 146A ST Surrey
4234,11092,147A Street,Guildford,Surrey,V3R 3W2,-122.8139512,49.2041307,11100 147A ST,11,11100 147A ST Surrey
4235,11115,163A Street,Surrey,Greater Vancouver,V4N 4R8,-122.7684946,49.2043025,11100 163A ST,11,11100 163A ST Surrey
4236,14988,96 Avenue,Surrey,Greater Vancouver,V3R 1E7,-122.8066963,49.1768174,11200 150TH ST,11,11200 150TH ST Surrey
4237,11210,Lansdowne Drive,Guildford,Surrey,V3R 4Z7,-122.8091526,49.2061735,11200 LANSDOWNE DR,11,11200 LANSDOWNE DR Surrey
4238,705,124 Street,South Westminster,Surrey,V3V 3K3,-122.8766347,49.2062837,112TH AVE / KING GEORGE BLVD,11,112TH AVE / KING GEORGE BLVD Surrey
4239,11307,161 Street,Surrey,Greater Vancouver,V4N 4P5,-122.7776583,49.207528,11300 161ST ST,11,11300 161ST ST Surrey
4240,11310,Surrey Road,Guildford,Surrey,V3R 5T3,-122.8152265,49.207852,11300 SURREY RD,11,11300 SURREY RD Surrey
4241,11692,96 Avenue,Delta,Greater Vancouver,V4C 3W7,-122.8982351,49.1768345,11700 96TH AVE,11,11700 96TH AVE Surrey
4242,11799,99A Avenue,Surrey,Greater Vancouver,V3V 2P9,-122.895722,49.1833555,11800 99A AVE,11,11800 99A AVE Surrey
4243,11908,99 Avenue,Surrey,Greater Vancouver,V3V 2M5,-122.892868,49.1824811,11900 99TH AVE,11,11900 99TH AVE Surrey
4244,9791,120 Street,Surrey,Greater Vancouver,V3V 4C7,-122.8902628,49.1807207,120TH ST / 98TH AVE,11,120TH ST / 98TH AVE Surrey
4245,12051,100A Avenue,Surrey,Greater Vancouver,V3V 2Y4,-122.8879727,49.1856528,12100 100A AVE,11,12100 100A AVE Surrey
4246,12122,78 Avenue,Newton,Surrey,V3W 0J2,-122.8868518,49.1447167,12100 78TH AVE,11,12100 78TH AVE Surrey
4247,12108,93A Avenue,Surrey,Greater Vancouver,V3V 6Y8,-122.8872907,49.1728152,12100 93A AVE,11,12100 93A AVE Surrey
4248,12105,66 Avenue,Newton,Surrey,V3W 1Z8,-122.88747,49.1229914,121ST ST / 66TH AVE,11,121ST ST / 66TH AVE Surrey
4249,12091,72 Avenue,Newton,Surrey,V3W 2M1,-122.8876263,49.1340219,121ST ST / 72ND AVE,11,121ST ST / 72ND AVE Surrey
4250,12198,75 Avenue,Newton,Surrey,V3W 2S5,-122.8843977,49.1393938,12200 75TH AVE,11,12200 75TH AVE Surrey
4251,12312,72 Avenue,Newton,Surrey,V3W 2M3,-122.8819701,49.1339402,12300 72ND AVE,11,12300 72ND AVE Surrey
4252,9797,123 Street,Surrey,Greater Vancouver,V3V 4N9,-122.8820094,49.1806996,12300 98TH AVE,11,12300 98TH AVE Surrey
4253,12300,99A Avenue,Surrey,Greater Vancouver,V3V 2R3,-122.8818609,49.18361,12300 99A AVE,11,12300 99A AVE Surrey
4254,12386,63A Avenue,Newton,Surrey,V3X 3H4,-122.880159,49.1180657,12400 63A AVE,11,12400 63A AVE Surrey
4255,64 Ave FS 124 St,Newton,Surrey,Greater Vancouver,V3W,-122.8790032,49.119196,12400 64TH AVE,11,12400 64TH AVE Surrey
4256,12440,97 Avenue,Surrey,Greater Vancouver,V3V 2E4,-122.8779037,49.179245,12400 97TH AVE,11,12400 97TH AVE Surrey
4257,12502,114 Avenue,Surrey,Greater Vancouver,V3V 3N7,-122.8758275,49.2096697,12500 114TH AVE,11,12500 114TH AVE Surrey
4258,12502,27 Avenue,Surrey,Greater Vancouver,V4A 2M7,-122.8756052,49.0515046,12500 27TH AVE,11,12500 27TH AVE Surrey
4259,12486,68 Avenue,Newton,Surrey,V3W 2E2,-122.8763522,49.126462,12500 68TH AVE,11,12500 68TH AVE Surrey
4260,2447,126 Street,Surrey,Greater Vancouver,V4A 8H7,-122.8731797,49.0468906,12600 24A AVE,11,12600 24A AVE Surrey
4261,12598,56 Avenue,Newton,Surrey,V3X 2Y6,-122.8733423,49.1041995,12600 56TH AVE,11,12600 56TH AVE Surrey
4262,12635,94 Avenue,Surrey,Greater Vancouver,V3V 1L8,-122.8729402,49.1738186,12600 95TH AVE,11,12600 95TH AVE Surrey
4263,9903,126 Street,Surrey,Greater Vancouver,V3V 5E5,-122.8733395,49.182324,12600 99TH AVE,11,12600 99TH AVE Surrey
4264,12707,92 Avenue,Surrey,Greater Vancouver,V3V 6G6,-122.8708391,49.1699186,12700 92ND AVE,11,12700 92ND AVE Surrey
4265,12690,Southridge Drive,Newton,Surrey,V3X 3C6,-122.8709876,49.0985398,12700 SOUTHRIDGE DR,11,12700 SOUTHRIDGE DR Surrey
4266,19128,65 Avenue,East Clayton,Surrey,V4N 6P2,-122.6933297,49.1222039,12800 65TH AVE,11,12800 65TH AVE Surrey
4267,12771,76A Avenue,Newton,Surrey,V3W 4Y8,-122.867944,49.142365,128TH ST / 76A AVE,11,128TH ST / 76A AVE Surrey
4268,Crescent Rd FS 128 St,Surrey,Greater Vancouver,British Columbia,Canada,-122.8673143,49.0530552,128TH ST / CRESCENT RD,11,128TH ST / CRESCENT RD Surrey
4269,13018,110 Avenue,Surrey,Greater Vancouver,V3T 2P6,-122.8613549,49.2026085,12900 110TH AVE,11,12900 110TH AVE Surrey
4270,6715,128B Street,Newton,Surrey,V3W 9X7,-122.8656499,49.1248367,12900 67A AVE,11,12900 67A AVE Surrey
4271,12938,72A Avenue,Newton,Surrey,V3W 6Z2,-122.8646389,49.1337801,12900 72ND AVE,11,12900 72ND AVE Surrey
4272,12913,98 Avenue,Surrey,Greater Vancouver,V3T 1B3,-122.8647153,49.1813917,12900 98A AVE,11,12900 98A AVE Surrey
4273,12880,King George Boulevard,Surrey,Greater Vancouver,V3T 2S9,-122.8661446,49.2063856,12900 KING GEORGE BLVD,11,12900 KING GEORGE BLVD Surrey
4274,1299,111 Avenue,Surrey,Greater Vancouver,V3T 2R5,-122.8619239,49.2046917,13000 111TH AVE,11,13000 111TH AVE Surrey
4275,12994,61B Avenue,Newton,Surrey,V3S 1C8,-122.862685,49.1142992,13000 61A AVE,11,13000 61A AVE Surrey
4276,19133,73 Avenue,East Clayton North,Surrey,V4N 6L8,-122.6925361,49.1352103,13000 73RD AVE,11,13000 73RD AVE Surrey
4277,13102,13 Avenue,Surrey,Greater Vancouver,V4A 1B8,-122.8592632,49.025865,13100 13TH AVE,11,13100 13TH AVE Surrey
4278,13119,62A Avenue,Newton,Surrey,V3X 1P6,-122.8589043,49.1155783,13100 62A AVE,11,13100 62A AVE Surrey
4279,13088,Coulthard Road,Newton,Surrey,V3X 3E6,-122.8599246,49.1013212,13100 COULTHARD RD,11,13100 COULTHARD RD Surrey
4280,13224,114 Avenue,Surrey,Greater Vancouver,V3R 2L3,-122.855632,49.2096424,13200 114TH AVE,11,13200 114TH AVE Surrey
4281,1435,132 Street,Surrey,Greater Vancouver,V4A 4B3,-122.8563743,49.0283306,13200 14A AVE,11,13200 14A AVE Surrey
4282,13210,89 Avenue,Surrey,Greater Vancouver,V3V 7V8,-122.8569613,49.1645083,132ND ST / 89TH AVE,11,132ND ST / 89TH AVE Surrey
4283,14012,103 Avenue,Whalley,Surrey,V3T 1S2,-122.8337063,49.189372,13300 103RD AVE,11,13300 103RD AVE Surrey
4284,13293,62 Avenue,Newton,Surrey,V3X 2H7,-122.8538265,49.115393,13300 62ND AVE,11,13300 62ND AVE Surrey
4285,6702,135 Street,Newton,Surrey,V3W 7K6,-122.848317,49.124263,13500 67TH AVE,11,13500 67TH AVE Surrey
4286,13485,68 Avenue,Newton,Surrey,V3W 2G1,-122.848345,49.126286,13500 68TH AVE,11,13500 68TH AVE Surrey
4287,13496,80 Avenue,Newton,Surrey,V3W 3C1,-122.8486068,49.147952,13500 80TH AVE,11,13500 80TH AVE Surrey
4288,13500,87A Avenue,Newton,Surrey,V3W 6B6,-122.848544,49.1610512,13500 87A AVE,11,13500 87A AVE Surrey
4289,17155,64A Avenue,Cloverdale,Surrey,V3S 4P8,-122.746704,49.11969,13600 64A AVE,11,13600 64A AVE Surrey
